ticker,company_name,current_index,market_cap,rank,predicted_action
HSBA.L,HSBC,FTSE 100,263217840128.0,1.0,no change
SHEL.L,Shell plc,FTSE 100,183616667648.0,2.0,no change
AZN.L,AstraZeneca,FTSE 100,177855594496.0,3.0,no change
RR.L,Rolls-Royce Holdings,FTSE 100,127388991488.0,4.0,no change
RIO.L,Rio Tinto,FTSE 100,115933143040.0,5.0,no change
ULVR.L,Unilever,FTSE 100,98748702720.0,6.0,no change
BATS.L,British American Tobacco,FTSE 100,90189742080.0,7.0,no change
BP.L,BP,FTSE 100,80906952704.0,8.0,no change
GSK.L,GSK plc,FTSE 100,72647770112.0,9.0,no change
BARC.L,Barclays,FTSE 100,70089474048.0,10.0,no change
LLOY.L,Lloyds Banking Group,FTSE 100,67001700352.0,11.0,no change
BA.L,BAE Systems,FTSE 100,66068033536.0,12.0,no change
GLEN.L,Glencore,FTSE 100,64589754368.0,13.0,no change
NG.L,National Grid plc,FTSE 100,59994861568.0,14.0,no change
NWG.L,NatWest Group,FTSE 100,56260562944.0,15.0,no change
STAN.L,Standard Chartered,FTSE 100,48841699328.0,16.0,no change
REL.L,RELX,FTSE 100,44001075200.0,17.0,no change
AAL.L,Anglo American plc,FTSE 100,41734455296.0,18.0,no change
LSEG.L,London Stock Exchange Group,FTSE 100,41142185984.0,19.0,no change
CPG.L,Compass Group,FTSE 100,40459047939.359024,20.0,no change
DGE.L,Diageo,FTSE 100,39135358976.0,21.0,no change
ANTO.L,Antofagasta plc,FTSE 100,35599286272.0,22.0,no change
CCEP.L,Coca-Cola Europacific Partners,FTSE 100,35152621568.0,23.0,no change
RKT.L,Reckitt,FTSE 100,32372668416.0,24.0,no change
HLN.L,Haleon,FTSE 100,31276240896.0,25.0,no change
SSE.L,SSE plc,FTSE 100,29083865088.0,26.0,no change
TSCO.L,Tesco,FTSE 100,28789166080.0,27.0,no change
VOD.L,Vodafone Group,FTSE 100,28025899008.0,28.0,no change
III.L,3i,FTSE 100,27724505088.0,29.0,no change
EXPN.L,Experian,FTSE 100,25561593856.0,30.0,no change
PRU.L,Prudential plc,FTSE 100,25529335808.0,31.0,no change
AV.L,Aviva,FTSE 100,21693943808.0,32.0,no change
FRES.L,Fresnillo plc,FTSE 100,21495185408.0,33.0,no change
IMB.L,Imperial Brands,FTSE 100,19815587840.0,34.0,no change
BT-A.L,BT Group,FTSE 100,19776217088.0,35.0,no change
IAG.L,International Airlines Group,FTSE 100,19584862208.0,36.0,no change
NXT.L,Next plc,FTSE 100,17431017472.0,37.0,no change
IHG.L,IHG Hotels & Resorts,FTSE 100,17399238480.060257,38.0,no change
CCH.L,Coca-Cola HBC,FTSE 100,16845551616.0,39.0,no change
LGEN.L,Legal & General,FTSE 100,16566531072.0,40.0,no change
SMT.L,Scottish Mortgage Investment Trust,FTSE 100,15349485568.0,41.0,no change
ABF.L,Associated British Foods,FTSE 100,14396851200.0,42.0,no change
HLMA.L,Halma plc,FTSE 100,13981215744.0,43.0,no change
SGRO.L,Segro,FTSE 100,13016972288.0,44.0,no change
AAF.L,Airtel Africa,FTSE 100,12000567296.0,45.0,no change
ADM.L,Admiral Group,FTSE 100,11722936320.0,46.0,no change
INF.L,Informa,FTSE 100,11588529152.0,47.0,no change
UU.L,United Utilities,FTSE 100,10504096768.0,48.0,no change
EDV.L,Endeavour Mining,FTSE 100,10051544064.0,49.0,no change
DPLM.L,Diploma,FTSE 100,9889494016.0,50.0,no change
SGE.L,Sage Group,FTSE 100,9415204864.0,51.0,no change
SVT.L,Severn Trent,FTSE 100,9357255680.0,52.0,no change
SDLF.L,Standard Life,FTSE 100,9305075712.0,53.0,no change
SN.L,Smith & Nephew,FTSE 100,9151404032.0,54.0,no change
SDR.L,Schroders,FTSE 100,9098637312.0,55.0,no change
ITRK.L,Intertek,FTSE 100,8956504064.0,56.0,no change
